index,transcriptid,gvkey,ticker,cik,ret,ym,converid,mostimportantdateutc,NOA,Pair,Quantity,Relevance,Clarity
324,2719991,10035,STT,93751,0.177388,1/1/23,2719991325,1/20/23,0,Null,8,10,9
325,2719991,10035,STT,93751,0.177388,1/1/23,2719991326,1/20/23,0,Null,10,10,10
326,2719991,10035,STT,93751,0.177388,1/1/23,2719991327,1/20/23,0,Null,10,10,10
327,2719991,10035,STT,93751,0.177388,1/1/23,2719991328,1/20/23,0,Null,8,10,9
328,2720151,32106,BKR,1701605,0.074839,1/1/23,2720151329,1/23/23,0,Null,10,10,10
329,2720151,32106,BKR,1701605,0.074839,1/1/23,2720151330,1/23/23,0,Null,10,10,10
169,2719319,29984,PLD,1045609,0.146811,1/1/23,2719319170,1/18/23,0,Null,8,10,9
170,2719319,29984,PLD,1045609,0.146811,1/1/23,2719319171,1/18/23,0,Null,10,10,10
171,2719319,29984,PLD,1045609,0.146811,1/1/23,2719319172,1/18/23,0,Null,10,10,10
172,2719319,29984,PLD,1045609,0.146811,1/1/23,2719319173,1/18/23,0,Null,10,10,10
173,2719319,29984,PLD,1045609,0.146811,1/1/23,2719319174,1/18/23,0,Null,8,10,9
174,2719319,29984,PLD,1045609,0.146811,1/1/23,2719319175,1/18/23,0,Null,7,10,10
100,2718679,12124,MS,895421,0.153905,1/1/23,2718679101,1/17/23,0,Null,8,10,9
101,2718679,12124,MS,895421,0.153905,1/1/23,2718679102,1/17/23,0,Null,8,10,9
102,2718679,12124,MS,895421,0.153905,1/1/23,2718679103,1/17/23,1,"[Executives][Sharon Yeshaya]So you have different disclosures as it relates to various loans and lending commitments that we gave. As we think about that line, it's inclusive of losses across the loan portfolio. And it was also worth highlighting there that we also mentioned the net -- the interest that you receive on the loans that we hold as well as the fees associated with those loans.",7,5,6
103,2718679,12124,MS,895421,0.153905,1/1/23,2718679104,1/17/23,1,"[Executives][James Gorman]Okay. Let me try and unpack that a little bit. I'm not going to talk about Twitter. We don't talk about single names, as you would expect. You did see the line -- the other ISG line. You can assume that whatever marks we took on any single name are reflected in that. And I think the way I think about this is we run a portfolio business. We obviously have single credits at any point in time that disappoint relative to others. But it's the total package. And the total package, if you look at it, actually turned out to be very fine given the environment we're in. So on the Plan B, I don't know if the rip we did -- we took about 1,800 heads in early December, would equate to a Plan B. It certainly felt like it. We've reduced -- we took a severance charge, Mike, which affected some of the efficiency ratio for this year, but will improve it for next year. And that was the rightsizing. We were frankly a little overdue. We hadn't done anything for a couple of years. We've had a lot of growth, and we'll continue monitoring that. Obviously, with the way bonus pools work, we've reflected the performance of the firm in the bonus pool. So we're not very different from the rest of the world in that regard. And that obviously resets comp a little bit. So I feel good about where the whole package is. I'm actually, as I said earlier, alluded to, I'm a little more confident about the long -- medium-term outlook for the market. I'm not talking about the first quarter or 2, although Sharon said the first quarter has actually started well. But the medium-term outlook for the markets, I see the Fed has moved from 75 to 50, likely to go to 25. The next stop on the trend line is 0, and then to mention when they will start cutting. Not sure they're going to cut this year, but I think they will be 0 increases this year for sure. So that's the inflection point. And there's a lot of money sitting around waiting to be put to work. And that's our job, is to be the flow of capital between those who have it and those who need it. So I'm pretty confident actually about the outlook. So we're -- we've done our Plan B, I guess. We're not anticipating a Plan C. And we're going to watch and wait for a little while, but I feel pretty good about it.",8,7,8
104,2718679,12124,MS,895421,0.153905,1/1/23,2718679105,1/17/23,0,Null,8,10,9
105,2718714,114628,GS,886982,0.065321,1/1/23,2718714106,1/17/23,0,Null,8,10,9
106,2718714,114628,GS,886982,0.065321,1/1/23,2718714107,1/17/23,0,Null,8,10,9
107,2718714,114628,GS,886982,0.065321,1/1/23,2718714108,1/17/23,0,Null,8,10,10
108,2718714,114628,GS,886982,0.065321,1/1/23,2718714109,1/17/23,0,Null,8,10,10
109,2718714,114628,GS,886982,0.065321,1/1/23,2718714110,1/17/23,0,Null,10,10,10
110,2718714,114628,GS,886982,0.065321,1/1/23,2718714111,1/17/23,0,Null,8,10,9
111,2718714,114628,GS,886982,0.065321,1/1/23,2718714112,1/17/23,0,Null,10,10,10
112,2718714,114628,GS,886982,0.065321,1/1/23,2718714113,1/17/23,0,Null,8,10,9
113,2718714,114628,GS,886982,0.065321,1/1/23,2718714114,1/17/23,0,Null,10,10,10
114,2718714,114628,GS,886982,0.065321,1/1/23,2718714115,1/17/23,0,Null,10,10,10
115,2718714,114628,GS,886982,0.065321,1/1/23,2718714116,1/17/23,0,Null,8,10,9
116,2718788,21825,CFG,759944,0.110998,1/1/23,2718788117,1/17/23,0,Null,8,10,9
117,2718788,21825,CFG,759944,0.110998,1/1/23,2718788118,1/17/23,0,Null,8,10,9
118,2718788,21825,CFG,759944,0.110998,1/1/23,2718788119,1/17/23,0,Null,10,10,10
119,2718788,21825,CFG,759944,0.110998,1/1/23,2718788120,1/17/23,0,Null,10,10,10
120,2718788,21825,CFG,759944,0.110998,1/1/23,2718788121,1/17/23,0,Null,8,10,10
